2023-07-10 00:25:07 INFO  [main] org.springframework.test.context.support.AbstractTestContextBootstrapper: Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@55493582, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@1a20270e, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@6b88ca8c, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@336f1079, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@2f16c6b3, org.springframework.test.context.support.DirtiesContextTestExecutionListener@34158c08, org.springframework.test.context.transaction.TransactionalTestExecutionListener@19e4fcac, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@52c3cb31, org.springframework.test.context.event.EventPublishingTestExecutionListener@4b79ac84, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@53941c2f, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@6dab9b6d, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@21fd5faa, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@2766ca9d, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@5460cf3a, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@65a15628]
2023-07-10 00:25:08 INFO  [main] org.springframework.boot.StartupInfoLogger: Starting UserProfileMapperTestCase using Java 17.0.6 on DESKTOP-TVDDHJO with PID 24488 (started by user in C:\Users\user\OneDrive\Desktop\eeit64-younite\Back-End)
2023-07-10 00:25:08 INFO  [main] org.springframework.boot.SpringApplication: No active profile set, falling back to 1 default profile: "default"
2023-07-10 00:25:12 INFO  [main] org.springframework.boot.autoconfigure.web.servlet.WelcomePageHandlerMapping: Adding welcome page: class path resource [static/index.html]
2023-07-10 00:25:12 WARN  [main] org.springframework.boot.autoconfigure.thymeleaf.ThymeleafAutoConfiguration$DefaultTemplateResolverConfiguration: Cannot find template location: classpath:/templates/ (please add some templates, check your Thymeleaf configuration, or set spring.thymeleaf.check-template-location=false)
2023-07-10 00:25:13 INFO  [main] org.springframework.boot.StartupInfoLogger: Started UserProfileMapperTestCase in 6.094 seconds (JVM running for 7.794)
2023-07-10 00:25:14 INFO  [main] com.zaxxer.hikari.HikariDataSource: HikariPool-1 - Starting...
2023-07-10 00:25:15 INFO  [main] com.zaxxer.hikari.HikariDataSource: HikariPool-1 - Start completed.
2023-07-10 00:25:15 INFO  [SpringApplicationShutdownHook] com.zaxxer.hikari.HikariDataSource: HikariPool-1 - Shutdown initiated...
2023-07-10 00:25:16 INFO  [SpringApplicationShutdownHook] com.zaxxer.hikari.HikariDataSource: HikariPool-1 - Shutdown completed.
